permalink,name,entity_type,category_code,raised_amount_usd,funded_at,funding_round_type,status,country_code,state_code,region,city
/company/connectquest,ConnectQuest,Company,mobile,250010,2/12/2013,angel,unknown,USA,CT,unknown,west simsbury
/company/connectsoft,ConnectSoft,Company,software,400000,4/19/2010,angel,unknown,USA,KY,Louisville,louisville
/company/connectsolutions,ConnectSolutions,Company,enterprise,10000000,1/10/2013,series-a,unknown,USA,CA,SF Bay,san francisco
/company/connecture,Connecture,Company,NULL,3500000,6/3/2005,venture,unknown,USA,GA,Atlanta,atlanta
/company/connecture,Connecture,Company,NULL,20000000,8/16/2012,venture,unknown,USA,GA,Atlanta,atlanta
/company/connectv-com,Connectv.com,Company,web,1400000,6/26/2013,angel,unknown,USA,CA,SF Bay,emeryville
/company/connectyard,ConnectYard,Company,public_relations,500000,7/1/2010,series-a,unknown,USA,NJ,Philadelphia,wayne
/company/connectyard,ConnectYard,Company,public_relations,700000,7/11/2011,series-a,unknown,USA,NJ,Philadelphia,wayne
/company/connexity,Connexity,Company,advertising,2000000,9/30/2011,other,unknown,USA,CA,Santa Barbara,ventura
/company/connexity,Connexity,Company,advertising,3000000,8/2/2012,series-a,unknown,USA,CA,Santa Barbara,ventura
/company/connotate,Connotate,Company,software,5250000,6/8/2010,series-a,unknown,USA,NJ,New Brunswick,new brunswick
/company/connotate,Connotate,Company,software,7000000,4/12/2012,series-b,unknown,USA,NJ,New Brunswick,new brunswick
/company/conscious-box,Conscious Box,Company,ecommerce,400000,4/27/2013,angel,unknown,USA,OR,Portland,portland
/company/consensus-point,Consensus Point,Company,software,2600000,7/18/2012,series-b,unknown,USA,TN,Nashville,nashville
/company/consentry-networks,ConSentry Networks,Company,network_hosting,9400000,1/19/2009,venture,unknown,USA,CA,SF Bay,milpitas
/company/consentry-networks,ConSentry Networks,Company,network_hosting,20000000,7/10/2006,series-c+,unknown,USA,CA,SF Bay,milpitas
/company/consentry-networks,ConSentry Networks,Company,network_hosting,17000000,7/18/2005,series-c+,unknown,USA,CA,SF Bay,milpitas
/company/consert,Consert,Company,cleantech,1255689,8/31/2009,other,acquired,USA,NC,Raleigh-Durham,raleigh
/company/consert,Consert,Company,cleantech,1300000,12/18/2009,other,acquired,USA,NC,Raleigh-Durham,raleigh
/company/conservis,Conservis,Company,software,1000002,12/6/2012,other,unknown,USA,MN,Minneapolis,minneapolis
/company/consignd,Consignd⇥,Company,ecommerce,40000,1/7/2013,angel,unknown,USA,NY,New York,new york
/company/consmr,Consumr,Company,web,565000,12/4/2012,angel,unknown,USA,NY,New York,new york
/company/consolidated-energy,Consolidated Energy,Company,cleantech,200000,8/6/2008,angel,unknown,USA,UT,Salt Lake City,salt lake city
/company/consortemedia,Consorte Media,Company,web,7000000,12/1/2007,series-b,acquired,USA,CA,SF Bay,san francisco
/company/conspire,Conspire,Company,web,118000,1/14/2013,angel,unknown,USA,CA,SF Bay,palo alto
/company/constant-contact,Constant Contact,Company,advertising,3659714,6/3/2010,venture,unknown,USA,MA,Boston,waltham
/company/constellation-pharmaceuticals,Constellation Pharmaceuticals,Company,biotech,17200000,8/13/2009,series-b,unknown,USA,MA,Boston,cambridge
/company/constellation-pharmaceuticals,Constellation Pharmaceuticals,Company,biotech,4800000,6/7/2010,series-b,unknown,USA,MA,Boston,cambridge
/company/constellation-pharmaceuticals,Constellation Pharmaceuticals,Company,biotech,15000000,6/6/2011,series-b,unknown,USA,MA,Boston,cambridge
/company/constellation-pharmaceuticals,Constellation Pharmaceuticals,Company,biotech,95000000,1/17/2012,venture,unknown,USA,MA,Boston,cambridge
/company/constellation-research,Constellation Research,Company,consulting,3000000,9/1/2012,series-a,unknown,USA,CA,Monta Vista,monta vista
/company/construction-software-technologies,Construction Software Technologies,Company,software,11000000,12/1/2006,series-c+,unknown,USA,OH,Cincinnati,cincinnati
/company/consult-a-doctor,Consult A Doctor,Company,other,5000000,2/16/2010,series-a,unknown,USA,FL,Miami,miami beach
/company/consultingmd,ConsultingMD,Company,web,10000000,5/21/2013,series-a,unknown,USA,CA,SF Bay,palo alto
/company/consumer-united,Consumer United,Company,web,52500000,2/12/2013,series-c+,unknown,USA,MA,Boston,boston
/company/consumerbell,ConsumerBell,Company,web,300000,7/30/2011,angel,unknown,USA,NY,New York,new york
/company/contact-at-once,Contact At Once!,Company,public_relations,3000000,5/8/2012,venture,unknown,USA,GA,Atlanta,alpharetta
/company/contact-solutions,Contact Solutions,Company,public_relations,46000000,9/8/2010,venture,unknown,USA,VA,Washington DC,reston
