permalink,name,entity_type,category_code,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/financial-organization/dfj-growth,DFJ Growth,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/2006,NULL,NULL,11/10/2010
/financial-organization/dfj-jaic,DFJ JAIC,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/dfj-mercury,Mercury Fund,FinancialOrg,NULL,unknown,USA,TX,Houston,houston,NULL,3/10/2005,NULL,NULL,8/2/2012
/financial-organization/dfj-portage-ventures,DFJ Portage Ventures,FinancialOrg,NULL,unknown,USA,IL,Chicago,northfield,NULL,NULL,NULL,NULL,NULL
/financial-organization/dfj-vtb-capital-aurora,DFJ VTB Capital Aurora,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,NULL,NULL,NULL,NULL
/financial-organization/dfw-capital,DFW Capital,FinancialOrg,NULL,unknown,USA,NJ,New York,teaneck,NULL,NULL,NULL,NULL,NULL
/financial-organization/dh-capital,DH Capital,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/dhillon-capital,Dhillon Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san mateo,NULL,1/1/2005,NULL,NULL,NULL
/financial-organization/diamond-ridge-ventures,Diamond Ridge Ventures,FinancialOrg,NULL,unknown,USA,CA,Los Angeles,newport coast,NULL,1/1/2010,NULL,NULL,NULL
/financial-organization/diamondhead-ventures,Diamondhead Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/2000,NULL,NULL,NULL
/financial-organization/digital-entertainment-ventures,Digital Entertainment Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2012,NULL,NULL,NULL
/financial-organization/digital-first-ventures,Digital First Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2011,NULL,NULL,NULL
/financial-organization/digital-news-ventures,Digital News Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,NULL,NULL,NULL,NULL
/financial-organization/digital-power-capital,Digital Power Capital,FinancialOrg,NULL,unknown,USA,CT,New York,greenwich,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/diker-management,Diker Management,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2002,NULL,NULL,NULL
/financial-organization/dingman-center-angels,Dingman Center Angels,FinancialOrg,NULL,unknown,USA,MD,Washington DC,college park,NULL,1/1/1986,NULL,NULL,NULL
/financial-organization/discovery-ventures-corporation,Discovery Ventures Corporation,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2002,NULL,NULL,NULL
/financial-organization/divergent-ventures-2,Divergent Ventures,FinancialOrg,NULL,unknown,USA,WA,Seattle,seattle,NULL,1/1/1999,NULL,NULL,NULL
/financial-organization/dkr-capital,DKR Capital,FinancialOrg,NULL,unknown,USA,CT,New York,stamford,NULL,NULL,NULL,NULL,NULL
/financial-organization/dlb-capital,DLB Capital,FinancialOrg,NULL,unknown,USA,CT,Wilton,wilton,NULL,1/1/2006,NULL,NULL,NULL
/financial-organization/dns-l3,DNS-L3,FinancialOrg,NULL,unknown,USA,IL,Chicago,chicago,NULL,NULL,NULL,NULL,NULL
/financial-organization/docomo-capital,DoCoMo Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,7/1/2005,NULL,NULL,1/24/2012
/financial-organization/dogwood-equity,Dogwood Equity,FinancialOrg,NULL,unknown,USA,NC,Raleigh-Durham,raleigh,NULL,1/1/2002,NULL,NULL,NULL
/financial-organization/dolphin-equity-partners,Dolphin Equity Partners,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/1998,NULL,NULL,NULL
/financial-organization/domain-associates,Domain Associates,FinancialOrg,NULL,unknown,USA,NJ,Princeton,princeton,NULL,1/1/1985,NULL,NULL,NULL
/financial-organization/dominion-ventures,Dominion Ventures,FinancialOrg,NULL,unknown,USA,NJ,Philadelphia,stratford,NULL,NULL,NULL,NULL,NULL
/financial-organization/doublerock,DoubleRock,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/2011,NULL,NULL,NULL
/financial-organization/dougery-ventures,Dougery Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,1/1/1998,NULL,NULL,NULL
/financial-organization/dove-capital-partners,Dove Capital Partners,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,NULL,NULL,NULL,NULL
/financial-organization/dow-venture-capital,Dow Venture Capital,FinancialOrg,NULL,unknown,USA,MI,Midland,midland,NULL,NULL,NULL,NULL,NULL
/financial-organization/draper-associates,Draper & Associates,FinancialOrg,NULL,unknown,USA,GA,Atlanta,atlanta,NULL,1/1/1969,NULL,NULL,NULL
/financial-organization/draper-associates-2,Draper Associates,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/1969,NULL,NULL,NULL
/financial-organization/draper-fisher-jurvetson,Draper Fisher Jurvetson (DFJ),FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,10/1/1985,NULL,NULL,NULL
/financial-organization/draper-richards,Draper Richards,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/1996,NULL,NULL,NULL
/financial-organization/draper-triangle-ventures,Draper Triangle Ventures,FinancialOrg,NULL,unknown,USA,PA,Pittsburg,pittsburgh,NULL,NULL,NULL,NULL,NULL
/financial-organization/dreamit-ventures,DreamIt Ventures,FinancialOrg,NULL,unknown,USA,PA,Philadelphia,bryn mawr,NULL,1/1/2007,NULL,NULL,NULL
/financial-organization/dry-creek-ventures,Dry Creek Ventures,FinancialOrg,NULL,unknown,USA,CA,Healdsburg,healdsburg,NULL,NULL,NULL,NULL,NULL
